Display Name | Emoji Name | Emoji ID
Recurve Bow | 'recurve_bow' | '1514009938085544087'
Iron Sword | 'iron_sword' | '1514009936374399206'
Iron Knuckles | 'iron_knuckles' | '1514009934369521836'
Roman Cestus | 'roman_cestus' | '1514010125914996816'
Pilgrim's Bordone | 'pilgrim_bordone' | '1514010123935158422'
Pata | 'pata' | '1514010122106572941'
Labrys | 'labrys' | '1514010120340898025'
Kopis | 'kopis' | '1514010118579163387'
Katana | 'katana' | '1514010116888985740'
Japanese Bo | 'japanese_bo' | '1514010115412590734'
Holmegaard Bow | 'holmegaard_bow' | '1514010113810239548'
Gladius | 'gladius' | '1514010111297978418'
English Quarterstaff | 'english_quarterstaff' | '1514010109561409637'
Enderby Shield | 'enderby_shield' | '1514010107829289082'
Egyptian Asa | 'egyptian_asa' | '1514010105752846446'
Dory | 'dory' | '1514010103379001435'
Battersea Shield | 'battersea_shield' | '1514010101583712276'
Bagh Nakh | 'bagh_nakh' | '1514010099604132121'
Wooden Staff | 'wooden_staff' | '1514009954904703216'
Arrow Of Eros | 'arrow_of_eros' | '1514010193866788864'
Apollo's Silver Bow | 'apollo_silver_bow' | '1514010192075952159'
Alan's Revered Hands | 'alan_revered_hands' | '1514010190242910389'
Aegis | 'aegis' | '1514010188607131768'
Xiphos | 'xiphos' | '1514010135440134154'
Vatican Aspis | 'vatican_aspis' | '1514010133510881480'
Thyrsus | 'thyrsus' | '1514010131615059978'
Scythian Composite Bow | 'scythian_composite' | '1514010129773756557'
Scandinavian Glacial Wooden Bow | 'scandinavian_glacial' | '1514010127739392040'
Luzon Tribal Shield | 'luzon_tribal_shield' | '1514010231750004816'
Laevateinn Sword | 'laevateinn_sword' | '1514010229522694154'
Laevateinn Staff | 'laevateinn_staff' | '1514010227601703102'
Knuckle Charm | 'knuckle_charm' | '1514010225974186065'
Juru Pakal | 'juru_pakal' | '1514010223726297330'
Jarngreipr | 'jarngreipr' | '1514010222023282718'
Hephaestus Hammer | 'hephaestus_hammer' | '1514010219171020820'
Helm Of Darkness | 'helm_of_darkness' | '1514010216788918354'
Harpe | 'harpe' | '1514010214909870258'
Gusisnautar | 'gusisnautar' | '1514010212325920919'
Gridr Iron Gloves | 'gridr_iron_gloves' | '1514010210182627398'
Gram | 'gram' | '1514010208286802131'
Galdrastafir | 'galdrastafir' | '1514010206361751727'
Freyr Arrow | 'freyr_arrow' | '1514010202825953300'
Badiang Stalk | 'badiang_stalk' | '1514010200711893012'
Babaylan Ritual Staff | 'babaylan_ritual_staff' | '1514010198556278876'
Trident of Poseidon | 'trident' | '1514010277149020192'
Thunderbolt of Zeus | 'thunderbolt' | '1514010274779369653'
Mjolnir | 'mjolnir' | '1514010272787075262'
Gungnir | 'gungnir' | '1514010270853239009'
Tyrfing | 'tyrfing' | '1514010240801312881'
Sword Of Damocles | 'sword_of_damocles' | '1514010239072993412'
Spear Of Ares | 'spear_of_ares' | '1514010237152133355'
Skjaldmaer | 'skjaldmaer' | '1514010235281604778'
Shield Of The Valkyrie | 'shielf_of_the_valkyrie' | '1514010233478058177'
Scimitar | 'scimitar' | '1514016811144839458'
Pelte | 'pelte' | '1514016807969624246'
Myrmex | 'myrmex' | '1514016804559917168'
Kampilan | 'kampilan' | '1514016802928201919'
Initiate Blade | 'initiate_blade' | '1514016800805748746'
Dipylon Shield | 'dipylon_shied' | '1514016798712795207'
Cretan Bow | 'cretan_bow' | '1514016796292681768'
Caestus | 'caestus' | '1514016794476548096'
Caduceus | 'caduceus' | '1514016792559882290'
Wolfskin Cloak | 'wolfskin_cloak' | '1518855588334014564'
Valkyrie Mantle | 'valkyrie_mantle' | '1518855585578225724'
Salakot Ward | 'salakot_ward' | '1518855583632068728'
Mantle Of Bathala | 'mantle_of_bathala' | '1518855581543301182'
Mail Of Brokkr | 'mail_of_brokkr' | '1518855579374719006'
Kalasag | 'kalasag' | '1518855577185423380'
Hoplite Panoply | 'hoplite_panoply' | '1518855573880438824'
Baluti Vest | 'baluti_vest' | '1518855572068372550'
Anting Anting Sash | 'anting_anting_sash' | '1518855570008834109'
